id,prompt,expected,actual
1,"Extract company info from: Acme Corp was founded in 1985 in NYC with 500 employees.","{""company"": ""Acme Corp"", ""founded"": 1985, ""city"": ""NYC"", ""employees"": 500}","{""company"": ""Acme Corp"", ""founded"": 1985, ""city"": ""NYC"", ""employees"": 500}"
2,"Extract company info from: GlobalTech started in 2001 in London with 12 people.","{""company"": ""GlobalTech"", ""founded"": 2001, ""city"": ""London"", ""employees"": 12}","{""company"": ""GlobalTech"", ""founded"": ""2001"", ""city"": ""London"", ""employees"": 12}"
3,"Extract company info from: MediCare Plus has operated since 1970 in Chicago with 3000 staff.","{""company"": ""MediCare Plus"", ""founded"": 1970, ""city"": ""Chicago"", ""employees"": 3000}","{""company"": ""MediCare Plus"", ""founded"": 1970, ""city"": ""Chicago"", ""employees"": 3000}"
4,"Extract company info from: QuickByte is a 2019 startup in Austin with 8 people.","{""company"": ""QuickByte"", ""founded"": 2019, ""city"": ""Austin"", ""employees"": 8}","{""company"": ""QuickByte"", ""founded"": 2019, ""city"": ""Austin""}"
5,"Extract company info from: DataStream launched in 2015 in Berlin with 200 employees.","{""company"": ""DataStream"", ""founded"": 2015, ""city"": ""Berlin"", ""employees"": 200}","{""company"": ""DataStream"", ""founded"": 2015, ""city"": ""Berlin"", ""employees"": 200}"
6,"Extract company info from: FreshFarms began in 1998 in Portland with 45 workers.","{""company"": ""FreshFarms"", ""founded"": 1998, ""city"": ""Portland"", ""employees"": 45}","{""company"": ""FreshFarms"", ""founded"": 1998, ""city"": ""Portland"", ""employees"": 45, ""industry"": ""agriculture""}"
7,"Extract company info from: NanoTech was created in 2020 in Tokyo with 25 staff.","{""company"": ""NanoTech"", ""founded"": 2020, ""city"": ""Tokyo"", ""employees"": 25}","{""company"": ""NanoTech"", ""founded"": 2020, ""city"": ""Tokyo"", ""employees"": 25}"
8,"Extract company info from: BlueSky Airlines started in 1992 in Dubai with 1500 employees.","{""company"": ""BlueSky Airlines"", ""founded"": 1992, ""city"": ""Dubai"", ""employees"": 1500}","{""company"": ""BlueSky Air"", ""founded"": 1992, ""city"": ""Dubai"", ""employees"": 1500}"
9,"Extract company info from: PixelWorks is a 2017 company in Seoul with 60 people.","{""company"": ""PixelWorks"", ""founded"": 2017, ""city"": ""Seoul"", ""employees"": 60}","broken json {"
10,"Extract company info from: OceanView Resorts opened in 2005 in Miami with 350 staff.","{""company"": ""OceanView Resorts"", ""founded"": 2005, ""city"": ""Miami"", ""employees"": 350}","{""company"": ""OceanView Resorts"", ""founded"": 2005, ""city"": ""Miami"", ""employees"": 350}"
