id,prompt,expected,actual
1,"Extract info: TechFlow-1, AI/ML, New York, founded 2005, 1833 employees, $69.9M revenue.","{""company"": ""TechFlow-1"", ""city"": ""New York"", ""industry"": ""AI/ML"", ""founded"": 2005, ""employees"": 1833, ""revenue_m"": 69.9}","{""company"": ""TechFlow-1"", ""city"": ""New York"", ""industry"": ""AI/ML"", ""founded"": 2005, ""employees"": 1833, ""revenue_m"": 69.9}"
2,"Extract info: ArcNode-2, IoT, San Francisco, founded 1992, 249 employees, $46.9M revenue.","{""company"": ""ArcNode-2"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 1992, ""employees"": 249, ""revenue_m"": 46.9}","{""company"": ""ArcNode-2"", ""city"": ""San Francisco"", ""industry"": ""IoT"", ""founded"": 1992, ""employees"": 249, ""revenue_m"": 46.9}"
3,"Extract info: PrismAI-3, EdTech, New York, founded 2024, 3441 employees, $110.3M revenue.","{""company"": ""PrismAI-3"", ""city"": ""New York"", ""industry"": ""EdTech"", ""founded"": 2024, ""employees"": 3441, ""revenue_m"": 110.3}","{""company"": ""PrismAI #3"", ""city"": ""New York"", ""industry"": ""EdTech"", ""founded"": 2024, ""employees"": 3441, ""revenue_m"": 110.3}"
4,"Extract info: Acme-4, IoT, London, founded 2011, 2281 employees, $77.8M revenue.","{""company"": ""Acme-4"", ""city"": ""London"", ""industry"": ""IoT"", ""founded"": 2011, ""employees"": 2281, ""revenue_m"": 77.8}",Error: extraction failed
5,"Extract info: ByteShift-5, FinTech, San Francisco, founded 2014, 797 employees, $179.6M revenue.","{""company"": ""ByteShift-5"", ""city"": ""San Francisco"", ""industry"": ""FinTech"", ""founded"": 2014, ""employees"": 797, ""revenue_m"": 179.6}","{""company"": ""ByteShift-5"", ""city"": ""San Francisco"", ""industry"": ""FinTech"", ""founded"": 2014, ""employees"": 797, ""revenue_m"": 179.6}"
6,"Extract info: NetPulse-6, Robotics, New York, founded 2024, 1027 employees, $486.6M revenue.","{""company"": ""NetPulse-6"", ""city"": ""New York"", ""industry"": ""Robotics"", ""founded"": 2024, ""employees"": 1027, ""revenue_m"": 486.6}","{""company"": ""NetPulse-6"", ""city"": ""New York"", ""industry"": ""Robotics"", ""founded"": 2024, ""employees"": 1027, ""revenue_m"": 486.6}"
7,"Extract info: ArcNode-7, Cybersecurity, Berlin, founded 2002, 574 employees, $23.0M revenue.","{""company"": ""ArcNode-7"", ""city"": ""Berlin"", ""industry"": ""Cybersecurity"", ""founded"": 2002, ""employees"": 574, ""revenue_m"": 23.0}","{""company"": ""ArcNode-7"", ""city"": ""Berlin"", ""industry"": ""Cybersecurity"", ""founded"": 2002, ""employees"": 574, ""revenue_m"": 23.0}"
8,"Extract info: NetPulse-8, EdTech, San Francisco, founded 1996, 3118 employees, $139.1M revenue.","{""company"": ""NetPulse-8"", ""city"": ""San Francisco"", ""industry"": ""EdTech"", ""founded"": 1996, ""employees"": 3118, ""revenue_m"": 139.1}","{""company"": ""NetPulse #8"", ""city"": ""San Francisco"", ""industry"": ""EdTech"", ""founded"": 1996, ""employees"": 3118, ""revenue_m"": 139.1}"
9,"Extract info: ByteShift-9, Cybersecurity, London, founded 2012, 1721 employees, $335.1M revenue.","{""company"": ""ByteShift-9"", ""city"": ""London"", ""industry"": ""Cybersecurity"", ""founded"": 2012, ""employees"": 1721, ""revenue_m"": 335.1}","{""company"": ""ByteShift-9"", ""city"": ""Toronto"", ""industry"": ""Cybersecurity"", ""founded"": 2012, ""employees"": 1721, ""revenue_m"": 335.1}"
10,"Extract info: TechFlow-10, EdTech, London, founded 2000, 3791 employees, $189.8M revenue.","{""company"": ""TechFlow-10"", ""city"": ""London"", ""industry"": ""EdTech"", ""founded"": 2000, ""employees"": 3791, ""revenue_m"": 189.8}","{""company"": ""TechFlow-10"", ""city"": ""London"", ""industry"": ""EdTech"", ""founded"": ""2000"", ""revenue_m"": 189.8}"
11,"Extract info: ArcNode-11, Cybersecurity, Tokyo, founded 1993, 1881 employees, $410.9M revenue.","{""company"": ""ArcNode-11"", ""city"": ""Tokyo"", ""industry"": ""Cybersecurity"", ""founded"": 1993, ""employees"": 1881, ""revenue_m"": 410.9}","{""company"": ""ArcNode-11"", ""city"": ""Tokyo"", ""industry"": ""Cybersecurity"", ""founded"": 1993, ""employees"": 1881}"
12,"Extract info: CoreStack-12, FinTech, Berlin, founded 2003, 4651 employees, $438.2M revenue.","{""company"": ""CoreStack-12"", ""city"": ""Berlin"", ""industry"": ""FinTech"", ""founded"": 2003, ""employees"": 4651, ""revenue_m"": 438.2}","{""company"": ""CoreStack-12"", ""city"": ""Berlin"", ""industry"": ""FinTech"", ""founded"": 2003, ""employees"": 4651, ""revenue_m"": 438.2}"
13,"Extract info: VoltGrid-13, Robotics, Toronto, founded 1999, 2174 employees, $69.9M revenue.","{""company"": ""VoltGrid-13"", ""city"": ""Toronto"", ""industry"": ""Robotics"", ""founded"": 1999, ""employees"": 2174, ""revenue_m"": 69.9}","{""company"": ""VoltGrid-13"", ""city"": ""Toronto"", ""industry"": ""Robotics"", ""founded"": ""1999"", ""employees"": 2174, ""revenue_m"": 69.9}"
14,"Extract info: ArcNode-14, IoT, Berlin, founded 2015, 2970 employees, $109.7M revenue.","{""company"": ""ArcNode-14"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": 2015, ""employees"": 2970, ""revenue_m"": 109.7}","{""company"": ""ArcNode-14"", ""city"": ""Berlin"", ""industry"": ""IoT"", ""founded"": ""2015"", ""revenue_m"": 109.7}"
